age,occupation,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
20,Other-service,White,Male,0,0,40,United-States,<=50K
39,Prof-specialty,White,Male,0,0,45,United-States,>50K
33,Handlers-cleaners,White,Male,0,0,50,United-States,<=50K
45,Protective-serv,White,Male,0,0,40,United-States,<=50K
23,Other-service,White,Male,0,0,25,United-States,<=50K
34,Exec-managerial,White,Female,0,0,40,United-States,<=50K
36,Prof-specialty,White,Male,0,0,50,United-States,<=50K
41,Adm-clerical,Asian-Pac-Islander,Male,3103,0,35,Philippines,>50K
23,Farming-fishing,White,Female,0,0,40,United-States,<=50K
22,Tech-support,White,Male,0,0,8,United-States,<=50K
47,Prof-specialty,White,Male,0,0,40,United-States,>50K
37,Prof-specialty,White,Male,0,0,40,Japan,<=50K
34,Prof-specialty,White,Male,7688,0,60,United-States,>50K
41,Prof-specialty,White,Male,15024,0,50,United-States,>50K
41,Transport-moving,White,Male,0,0,40,United-States,<=50K
40,Adm-clerical,Black,Female,0,0,49,United-States,<=50K
48,Adm-clerical,White,Female,0,0,45,United-States,<=50K
41,Adm-clerical,White,Female,0,0,55,United-States,<=50K
32,Craft-repair,White,Male,0,0,40,United-States,<=50K
44,Prof-specialty,White,Female,0,0,40,United-States,<=50K
43,Prof-specialty,Black,Male,0,0,99,United-States,>50K
27,Craft-repair,White,Male,0,0,49,United-States,<=50K
49,Sales,White,Male,0,0,40,United-States,>50K
34,Craft-repair,White,Male,0,0,40,United-States,>50K
50,Transport-moving,White,Male,0,0,40,United-States,<=50K
19,Adm-clerical,White,Female,0,0,38,United-States,<=50K
19,Craft-repair,White,Male,0,0,40,United-States,<=50K
53,Transport-moving,White,Male,0,0,40,United-States,>50K
45,Transport-moving,Black,Male,3325,0,40,United-States,<=50K
26,Craft-repair,White,Male,2907,0,50,United-States,<=50K
29,Exec-managerial,Black,Male,0,0,60,United-States,<=50K
59,Transport-moving,White,Male,0,0,48,United-States,<=50K
32,Machine-op-inspct,Asian-Pac-Islander,Female,4508,0,40,Cambodia,<=50K
58,Craft-repair,Black,Male,0,0,40,United-States,<=50K
41,Tech-support,White,Male,0,0,40,Mexico,<=50K
25,Craft-repair,White,Male,0,0,40,United-States,<=50K
29,Prof-specialty,Black,Female,0,0,40,United-States,<=50K
20,Adm-clerical,White,Female,0,0,40,United-States,<=50K
31,Prof-specialty,White,Male,0,0,43,United-States,<=50K
21,Prof-specialty,White,Female,0,0,8,United-States,<=50K
35,Other-service,White,Male,0,0,40,Mexico,<=50K
64,Prof-specialty,White,Male,0,0,10,United-States,>50K
21,Protective-serv,White,Male,0,0,40,United-States,<=50K
40,Other-service,White,Male,0,0,60,Greece,<=50K
49,Sales,White,Male,0,0,26,United-States,>50K
35,Sales,Amer-Indian-Eskimo,Female,0,0,40,United-States,<=50K
65,Exec-managerial,White,Male,0,0,40,United-States,<=50K
24,Transport-moving,White,Male,0,0,40,United-States,<=50K
25,Handlers-cleaners,Black,Male,0,0,40,Jamaica,<=50K
30,Adm-clerical,White,Female,0,0,30,United-States,<=50K
69,Transport-moving,White,Male,9386,0,60,United-States,>50K
18,Other-service,White,Female,0,0,30,United-States,<=50K
69,Transport-moving,White,Male,15831,0,40,United-States,>50K
35,Machine-op-inspct,White,Female,0,0,20,United-States,<=50K
48,Craft-repair,White,Male,0,0,40,United-States,<=50K
32,Adm-clerical,White,Female,0,0,40,United-States,<=50K
57,Prof-specialty,White,Male,0,0,40,United-States,>50K
61,Craft-repair,Black,Female,0,1669,50,United-States,<=50K
26,Tech-support,White,Male,0,0,25,United-States,<=50K
43,Prof-specialty,White,Male,0,0,40,United-States,<=50K
19,Sales,Black,Female,0,0,40,United-States,<=50K
56,Sales,White,Female,0,1974,40,United-States,<=50K
44,Handlers-cleaners,Black,Male,0,0,40,United-States,>50K
27,Protective-serv,White,Male,0,0,60,United-States,<=50K
44,Adm-clerical,White,Female,0,0,32,United-States,<=50K
42,Tech-support,White,Male,0,0,40,United-States,>50K
26,Other-service,White,Male,0,0,60,United-States,<=50K
51,Tech-support,White,Male,0,0,38,United-States,>50K
52,Adm-clerical,White,Female,0,0,30,United-States,<=50K
21,Craft-repair,White,Male,0,0,40,United-States,<=50K
44,Protective-serv,White,Male,7298,0,48,United-States,>50K
48,Prof-specialty,White,Male,0,0,40,United-States,<=50K
36,Prof-specialty,White,Female,0,0,40,United-States,<=50K
65,Sales,White,Female,0,0,45,United-States,<=50K
70,Prof-specialty,White,Male,0,0,60,United-States,<=50K
42,Exec-managerial,White,Male,0,0,40,United-States,>50K
17,Other-service,White,Female,0,0,8,United-States,<=50K
73,Exec-managerial,White,Male,0,0,35,United-States,<=50K
25,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
79,Prof-specialty,White,Male,20051,0,35,El-Salvador,>50K
60,Protective-serv,White,Male,0,0,40,United-States,<=50K
55,Machine-op-inspct,Black,Female,0,0,40,United-States,<=50K
51,Craft-repair,Black,Male,0,0,40,United-States,<=50K
23,Sales,White,Male,0,0,25,United-States,<=50K
60,Craft-repair,Black,Male,0,0,50,United-States,<=50K
33,Sales,White,Male,0,0,50,United-States,<=50K
58,Farming-fishing,White,Male,0,0,50,United-States,<=50K
22,Sales,White,Male,0,0,55,United-States,<=50K
41,Adm-clerical,White,Male,5178,0,40,United-States,>50K
22,Prof-specialty,White,Male,0,0,40,United-States,<=50K
34,Farming-fishing,White,Male,0,0,70,United-States,<=50K
41,Adm-clerical,White,Male,0,0,40,United-States,<=50K
23,Machine-op-inspct,White,Male,0,0,21,Mexico,<=50K
29,Sales,White,Male,0,0,70,United-States,>50K
36,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
41,Exec-managerial,White,Female,0,0,50,United-States,>50K
28,Machine-op-inspct,Black,Female,0,0,40,Germany,<=50K
48,Handlers-cleaners,White,Female,0,0,48,United-States,<=50K
52,Machine-op-inspct,Other,Male,3781,0,40,Columbia,<=50K
34,Protective-serv,White,Male,0,0,53,United-States,>50K
24,Adm-clerical,White,Female,0,0,40,United-States,<=50K
46,Sales,White,Male,0,0,40,United-States,>50K
19,Priv-house-serv,White,Female,0,0,45,United-States,<=50K
42,Farming-fishing,White,Female,0,0,50,United-States,<=50K
26,Adm-clerical,White,Female,0,0,40,United-States,<=50K
36,Prof-specialty,White,Male,0,0,40,United-States,<=50K
21,Other-service,White,Male,0,0,40,United-States,<=50K
57,Prof-specialty,White,Male,0,0,36,United-States,>50K
52,Exec-managerial,White,Male,15024,0,55,Canada,>50K
48,Adm-clerical,Black,Female,0,0,16,Trinadad&Tobago,<=50K
36,Other-service,White,Female,0,0,18,United-States,<=50K
17,Handlers-cleaners,White,Male,0,0,15,United-States,<=50K
48,Adm-clerical,White,Female,0,0,50,United-States,<=50K
31,Craft-repair,White,Male,0,0,45,United-States,<=50K
42,Prof-specialty,White,Male,0,0,50,United-States,>50K
43,Tech-support,White,Male,0,0,50,United-States,<=50K
62,Prof-specialty,White,Male,15020,0,50,United-States,>50K
29,Prof-specialty,White,Male,0,0,48,United-States,<=50K
53,Prof-specialty,Black,Male,0,0,35,United-States,<=50K
21,Exec-managerial,White,Female,0,0,40,United-States,<=50K
56,Prof-specialty,White,Male,0,0,40,United-States,>50K
36,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
46,Prof-specialty,White,Female,0,0,43,United-States,<=50K
40,Other-service,White,Female,0,0,40,United-States,<=50K
59,Prof-specialty,White,Male,0,0,50,United-States,<=50K
28,Craft-repair,White,Male,0,0,40,United-States,<=50K
19,Handlers-cleaners,White,Male,0,0,55,Mexico,<=50K
38,Craft-repair,White,Male,0,0,15,United-States,<=50K
21,Handlers-cleaners,White,Male,0,0,45,United-States,<=50K
43,Exec-managerial,White,Male,0,0,35,United-States,<=50K
20,Handlers-cleaners,White,Male,0,0,35,United-States,<=50K
65,Exec-managerial,White,Female,2329,0,75,United-States,<=50K
40,Tech-support,White,Female,0,0,20,United-States,<=50K
32,Sales,White,Female,0,0,45,United-States,>50K
67,Farming-fishing,White,Male,0,0,8,United-States,<=50K
55,Prof-specialty,White,Male,0,0,60,United-States,>50K
21,Machine-op-inspct,White,Male,0,0,60,United-States,<=50K
46,Craft-repair,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
33,Prof-specialty,White,Male,3103,0,47,United-States,>50K
31,Exec-managerial,White,Male,0,0,40,United-States,<=50K
36,Craft-repair,Asian-Pac-Islander,Male,0,0,70,South,<=50K
32,Exec-managerial,White,Male,0,0,60,United-States,>50K
54,Sales,Black,Male,0,0,40,Jamaica,<=50K
63,Sales,White,Male,0,1848,40,United-States,>50K
19,Other-service,Black,Male,0,0,40,United-States,<=50K
60,Machine-op-inspct,White,Male,4650,0,40,United-States,<=50K
17,Other-service,White,Female,0,0,15,United-States,<=50K
21,Other-service,White,Female,0,0,35,United-States,<=50K
49,Craft-repair,White,Male,5013,0,40,United-States,<=50K
36,Exec-managerial,White,Male,0,0,50,United-States,>50K
35,Craft-repair,White,Female,0,0,44,United-States,<=50K
28,Craft-repair,White,Male,0,1590,40,United-States,<=50K
44,Exec-managerial,White,Male,0,0,60,United-States,<=50K
41,Other-service,White,Male,0,0,40,United-States,<=50K
28,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
25,Prof-specialty,White,Female,0,0,40,Guatemala,<=50K
53,Exec-managerial,White,Male,0,1092,40,United-States,<=50K
19,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
36,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
32,Sales,Black,Male,0,0,40,United-States,<=50K
35,Handlers-cleaners,White,Female,0,0,40,United-States,<=50K
21,Adm-clerical,White,Male,0,0,50,United-States,<=50K
52,Sales,White,Male,0,0,45,United-States,<=50K
26,Adm-clerical,White,Female,0,0,42,United-States,<=50K
42,Sales,White,Male,0,0,25,United-States,>50K
22,Adm-clerical,White,Female,0,0,40,Mexico,<=50K
28,Sales,White,Female,0,0,40,United-States,<=50K
40,Prof-specialty,White,Female,0,0,40,United-States,<=50K
43,Prof-specialty,Black,Female,0,0,40,United-States,<=50K
29,Exec-managerial,White,Male,0,0,45,United-States,<=50K
46,Machine-op-inspct,White,Female,0,0,40,Mexico,<=50K
17,Farming-fishing,White,Male,0,0,40,United-States,<=50K
53,Adm-clerical,White,Female,0,0,40,United-States,<=50K
61,Adm-clerical,White,Male,0,0,35,United-States,<=50K
37,Craft-repair,White,Male,0,0,40,United-States,<=50K
21,Craft-repair,White,Male,0,0,35,United-States,<=50K
30,Adm-clerical,White,Female,0,0,40,United-States,<=50K
35,Other-service,Asian-Pac-Islander,Male,0,0,40,Vietnam,<=50K
30,Sales,White,Male,7298,0,50,United-States,>50K
27,Prof-specialty,White,Female,0,0,40,United-States,<=50K
47,Other-service,White,Female,0,0,30,United-States,>50K
59,Transport-moving,Black,Male,15024,0,50,United-States,>50K
39,Transport-moving,White,Male,0,0,40,United-States,<=50K
25,Sales,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
45,Machine-op-inspct,Black,Male,3137,0,35,United-States,<=50K
43,Sales,White,Male,15024,0,60,United-States,>50K
53,Other-service,White,Male,0,0,40,Mexico,<=50K
59,Sales,White,Male,7298,0,55,United-States,>50K
66,Sales,White,Female,0,0,20,United-States,<=50K
39,Exec-managerial,White,Male,15024,0,50,United-States,>50K
61,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
54,Sales,White,Male,0,0,40,United-States,<=50K
26,Farming-fishing,White,Male,0,0,99,United-States,<=50K
39,Prof-specialty,White,Male,0,0,60,United-States,>50K
56,Machine-op-inspct,White,Male,0,0,20,United-States,<=50K
35,Prof-specialty,White,Male,0,0,50,United-States,<=50K
37,Adm-clerical,White,Male,7688,0,50,United-States,>50K
25,Adm-clerical,Black,Female,0,0,40,United-States,<=50K
25,Other-service,White,Female,0,0,60,United-States,<=50K
25,Machine-op-inspct,White,Male,0,0,40,United-States,<=50K
43,Craft-repair,White,Male,0,0,40,United-States,>50K
30,Craft-repair,White,Male,0,0,40,United-States,<=50K
30,Prof-specialty,White,Male,0,0,45,United-States,>50K
22,Prof-specialty,White,Female,0,0,16,United-States,<=50K
26,Handlers-cleaners,White,Male,0,0,40,United-States,<=50K
34,Other-service,Asian-Pac-Islander,Male,0,0,40,Japan,<=50K
20,Handlers-cleaners,White,Female,0,0,35,United-States,<=50K
23,Exec-managerial,White,Female,0,0,50,United-States,<=50K
42,Adm-clerical,White,Female,0,0,40,United-States,<=50K
43,Other-service,White,Male,0,0,40,United-States,<=50K
38,Adm-clerical,White,Male,0,0,45,United-States,>50K
68,Prof-specialty,White,Male,0,0,55,United-States,>50K
22,Other-service,White,Male,0,0,25,United-States,<=50K
47,Transport-moving,White,Male,0,2002,45,United-States,<=50K
20,Sales,White,Female,0,0,40,United-States,<=50K
34,Prof-specialty,White,Female,0,0,40,United-States,<=50K
39,Tech-support,Asian-Pac-Islander,Male,0,0,40,Philippines,<=50K
41,Exec-managerial,White,Female,0,0,45,United-States,<=50K
38,Craft-repair,White,Male,0,0,40,United-States,<=50K
24,Handlers-cleaners,White,Male,0,0,39,United-States,<=50K
51,Craft-repair,White,Male,0,0,40,United-States,<=50K
32,Handlers-cleaners,White,Male,0,0,50,United-States,>50K
