age,occupation,education,education-num,marital-status,race,sex
51,Machine-op-inspct,HS-grad,9,Married-civ-spouse,White,Female
26,Handlers-cleaners,Some-college,10,Never-married,White,Male
28,Other-service,Assoc-acdm,12,Never-married,White,Male
18,Adm-clerical,HS-grad,9,Widowed,White,Male
54,Transport-moving,HS-grad,9,Married-civ-spouse,Black,Male
26,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
41,Transport-moving,HS-grad,9,Married-civ-spouse,White,Female
65,Other-service,HS-grad,9,Widowed,Black,Female
36,Tech-support,Bachelors,13,Married-civ-spouse,White,Male
46,Prof-specialty,Assoc-acdm,12,Never-married,White,Female
60,Craft-repair,7th-8th,4,Married-civ-spouse,White,Male
18,Exec-managerial,HS-grad,9,Never-married,White,Female
53,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Female
23,Handlers-cleaners,Some-college,10,Never-married,Black,Female
51,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
53,Adm-clerical,Assoc-acdm,12,Never-married,Black,Male
43,Craft-repair,HS-grad,9,Married-civ-spouse,Black,Male
21,Adm-clerical,Some-college,10,Never-married,White,Female
31,Other-service,Bachelors,13,Divorced,Asian-Pac-Islander,Male
19,Sales,Some-college,10,Never-married,Black,Female
57,Sales,Masters,14,Married-civ-spouse,White,Male
90,Farming-fishing,Some-college,10,Never-married,Asian-Pac-Islander,Male
26,Prof-specialty,Bachelors,13,Never-married,White,Male
38,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Male
34,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
24,Tech-support,Some-college,10,Never-married,White,Female
24,Craft-repair,HS-grad,9,Never-married,White,Male
44,Handlers-cleaners,5th-6th,3,Married-civ-spouse,White,Male
32,Exec-managerial,Assoc-voc,11,Divorced,White,Female
24,Handlers-cleaners,Some-college,10,Never-married,White,Male
48,Other-service,HS-grad,9,Divorced,White,Female
29,Other-service,11th,7,Married-civ-spouse,White,Female
62,Tech-support,Assoc-voc,11,Married-civ-spouse,White,Male
32,Sales,Bachelors,13,Married-civ-spouse,White,Male
46,Prof-specialty,Masters,14,Widowed,White,Female
19,Tech-support,Some-college,10,Never-married,White,Male
24,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
44,Protective-serv,Assoc-voc,11,Divorced,White,Female
61,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Male
50,Craft-repair,HS-grad,9,Divorced,White,Male
41,Handlers-cleaners,HS-grad,9,Married-civ-spouse,White,Male
41,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Female
52,Sales,HS-grad,9,Divorced,White,Female
45,Protective-serv,Assoc-voc,11,Married-civ-spouse,White,Male
62,Transport-moving,HS-grad,9,Married-civ-spouse,White,Male
50,Handlers-cleaners,Some-college,10,Married-civ-spouse,White,Male
75,Exec-managerial,11th,7,Married-civ-spouse,White,Male
30,Other-service,HS-grad,9,Divorced,Asian-Pac-Islander,Female
42,Prof-specialty,Prof-school,15,Married-civ-spouse,White,Male
74,Craft-repair,10th,6,Married-civ-spouse,Amer-Indian-Eskimo,Male
24,Tech-support,7th-8th,4,Never-married,White,Female
28,Adm-clerical,Assoc-acdm,12,Never-married,White,Female
29,Craft-repair,10th,6,Never-married,White,Male
46,Machine-op-inspct,Preschool,1,Married-civ-spouse,Black,Male
58,Adm-clerical,Some-college,10,Married-civ-spouse,White,Female
40,Prof-specialty,Masters,14,Never-married,White,Male
42,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
54,Sales,HS-grad,9,Widowed,White,Female
19,Machine-op-inspct,10th,6,Never-married,White,Female
27,Handlers-cleaners,5th-6th,3,Never-married,White,Male
53,Other-service,9th,5,Divorced,White,Female
27,Machine-op-inspct,HS-grad,9,Married-civ-spouse,Asian-Pac-Islander,Male
22,Protective-serv,Some-college,10,Never-married,Asian-Pac-Islander,Male
32,Sales,Bachelors,13,Married-civ-spouse,White,Male
35,Handlers-cleaners,Bachelors,13,Never-married,Black,Male
37,Adm-clerical,Some-college,10,Divorced,White,Female
28,Sales,Some-college,10,Married-civ-spouse,White,Male
20,Adm-clerical,Assoc-acdm,12,Never-married,White,Female
27,Other-service,HS-grad,9,Never-married,Asian-Pac-Islander,Male
55,Adm-clerical,Bachelors,13,Married-civ-spouse,White,Male
32,Machine-op-inspct,Some-college,10,Divorced,White,Female
32,Tech-support,Bachelors,13,Married-civ-spouse,White,Male
36,Farming-fishing,7th-8th,4,Never-married,White,Male
18,Sales,12th,8,Never-married,White,Female
50,Adm-clerical,HS-grad,9,Divorced,White,Female
20,Prof-specialty,Some-college,10,Never-married,White,Female
35,Exec-managerial,Bachelors,13,Married-civ-spouse,White,Male
48,Prof-specialty,HS-grad,9,Never-married,Black,Female
53,Other-service,10th,6,Married-civ-spouse,White,Male
31,Craft-repair,Some-college,10,Married-civ-spouse,White,Male
56,Craft-repair,Assoc-voc,11,Married-civ-spouse,Black,Male
57,Prof-specialty,Some-college,10,Married-civ-spouse,Black,Male
24,Craft-repair,HS-grad,9,Divorced,White,Male
49,Other-service,Some-college,10,Married-civ-spouse,White,Male
44,Prof-specialty,Prof-school,15,Married-civ-spouse,White,Male
35,Prof-specialty,HS-grad,9,Married-civ-spouse,Black,Female
47,Adm-clerical,Some-college,10,Married-civ-spouse,Black,Male
29,Machine-op-inspct,9th,5,Married-civ-spouse,White,Male
23,Exec-managerial,Some-college,10,Separated,Black,Male
33,Prof-specialty,Bachelors,13,Never-married,Black,Female
37,Farming-fishing,HS-grad,9,Married-spouse-absent,Other,Male
37,Exec-managerial,Some-college,10,Never-married,Black,Female
22,Exec-managerial,Bachelors,13,Never-married,White,Female
22,Adm-clerical,HS-grad,9,Never-married,Black,Male
36,Transport-moving,11th,7,Divorced,White,Male
42,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Male
48,Protective-serv,HS-grad,9,Married-civ-spouse,White,Male
52,Other-service,HS-grad,9,Widowed,Black,Female
43,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
44,Protective-serv,Assoc-voc,11,Married-civ-spouse,White,Male
19,Prof-specialty,HS-grad,9,Never-married,White,Female
41,Prof-specialty,Bachelors,13,Divorced,White,Female
53,Sales,Assoc-acdm,12,Married-civ-spouse,White,Male
31,Adm-clerical,Bachelors,13,Never-married,White,Female
28,Transport-moving,HS-grad,9,Divorced,White,Male
36,Handlers-cleaners,9th,5,Never-married,White,Male
44,Transport-moving,Bachelors,13,Married-civ-spouse,White,Male
36,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
62,Craft-repair,HS-grad,9,Never-married,White,Male
45,Exec-managerial,Assoc-voc,11,Divorced,White,Female
42,Exec-managerial,Masters,14,Married-civ-spouse,White,Male
28,Craft-repair,HS-grad,9,Never-married,White,Male
25,Sales,Some-college,10,Never-married,White,Female
47,Craft-repair,Some-college,10,Married-civ-spouse,White,Male
51,Machine-op-inspct,Bachelors,13,Married-civ-spouse,White,Male
21,Other-service,Some-college,10,Never-married,White,Male
37,Craft-repair,HS-grad,9,Divorced,White,Male
47,Machine-op-inspct,HS-grad,9,Divorced,White,Female
35,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
28,Machine-op-inspct,9th,5,Never-married,Other,Male
36,Sales,HS-grad,9,Never-married,White,Female
33,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
50,Other-service,HS-grad,9,Divorced,White,Male
53,Prof-specialty,Prof-school,15,Divorced,White,Female
53,Sales,HS-grad,9,Never-married,White,Female
63,Exec-managerial,10th,6,Married-civ-spouse,White,Male
25,Craft-repair,HS-grad,9,Separated,Black,Male
36,Craft-repair,Some-college,10,Never-married,White,Female
64,Exec-managerial,HS-grad,9,Married-civ-spouse,White,Male
36,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
41,Exec-managerial,Masters,14,Married-civ-spouse,White,Male
57,Prof-specialty,Doctorate,16,Divorced,White,Male
28,Exec-managerial,HS-grad,9,Never-married,Amer-Indian-Eskimo,Female
35,Protective-serv,Assoc-voc,11,Married-civ-spouse,White,Male
40,Sales,Assoc-acdm,12,Married-civ-spouse,White,Male
70,Exec-managerial,Bachelors,13,Married-civ-spouse,White,Male
40,Transport-moving,HS-grad,9,Divorced,White,Male
45,Farming-fishing,HS-grad,9,Married-civ-spouse,Amer-Indian-Eskimo,Male
36,Prof-specialty,Doctorate,16,Never-married,White,Male
35,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
38,Adm-clerical,Some-college,10,Separated,Black,Female
35,Craft-repair,Masters,14,Never-married,White,Male
18,Other-service,HS-grad,9,Never-married,White,Female
22,Craft-repair,HS-grad,9,Never-married,White,Male
34,Other-service,HS-grad,9,Never-married,Black,Male
52,Prof-specialty,Doctorate,16,Married-civ-spouse,White,Male
19,Other-service,12th,8,Never-married,White,Female
40,Other-service,HS-grad,9,Never-married,White,Female
53,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
31,Transport-moving,10th,6,Separated,White,Male
37,Craft-repair,HS-grad,9,Never-married,White,Male
42,Adm-clerical,Bachelors,13,Divorced,White,Female
20,Sales,Some-college,10,Never-married,White,Male
41,Protective-serv,HS-grad,9,Divorced,White,Male
45,Protective-serv,Some-college,10,Divorced,White,Male
20,Other-service,Some-college,10,Never-married,Black,Male
56,Transport-moving,HS-grad,9,Married-civ-spouse,White,Male
21,Sales,Some-college,10,Never-married,White,Male
55,Other-service,HS-grad,9,Widowed,White,Female
68,Other-service,7th-8th,4,Widowed,Amer-Indian-Eskimo,Female
31,Other-service,11th,7,Divorced,White,Female
25,Adm-clerical,Bachelors,13,Never-married,Asian-Pac-Islander,Female
32,Craft-repair,HS-grad,9,Never-married,White,Male
20,Prof-specialty,Some-college,10,Never-married,White,Male
34,Transport-moving,11th,7,Married-civ-spouse,White,Male
22,Transport-moving,Some-college,10,Never-married,White,Female
52,Machine-op-inspct,HS-grad,9,Divorced,White,Female
55,Prof-specialty,Bachelors,13,Widowed,White,Female
47,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
37,Exec-managerial,Masters,14,Divorced,White,Male
62,Sales,HS-grad,9,Widowed,White,Female
22,Prof-specialty,Some-college,10,Never-married,White,Female
23,Adm-clerical,HS-grad,9,Never-married,White,Female
57,Prof-specialty,HS-grad,9,Widowed,White,Female
38,Prof-specialty,Masters,14,Married-civ-spouse,White,Male
55,Machine-op-inspct,Assoc-voc,11,Married-civ-spouse,White,Male
22,Handlers-cleaners,HS-grad,9,Never-married,White,Male
51,Machine-op-inspct,HS-grad,9,Married-civ-spouse,Black,Male
36,Craft-repair,5th-6th,3,Married-civ-spouse,White,Male
31,Other-service,HS-grad,9,Never-married,White,Female
49,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
22,Handlers-cleaners,HS-grad,9,Never-married,Black,Male
19,Sales,Some-college,10,Never-married,White,Female
37,Tech-support,Bachelors,13,Married-civ-spouse,White,Male
35,Exec-managerial,Masters,14,Married-civ-spouse,White,Male
22,Sales,HS-grad,9,Never-married,White,Male
41,Prof-specialty,Prof-school,15,Divorced,White,Female
25,Prof-specialty,Bachelors,13,Never-married,White,Female
28,Exec-managerial,Some-college,10,Never-married,White,Male
37,Sales,HS-grad,9,Married-civ-spouse,White,Male
52,Adm-clerical,HS-grad,9,Married-civ-spouse,White,Male
45,Exec-managerial,HS-grad,9,Divorced,White,Male
49,Exec-managerial,Bachelors,13,Never-married,White,Male
42,Adm-clerical,HS-grad,9,Married-civ-spouse,White,Male
41,Exec-managerial,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Male
25,Craft-repair,Bachelors,13,Never-married,White,Male
55,Handlers-cleaners,HS-grad,9,Never-married,Black,Male
70,Farming-fishing,Assoc-voc,11,Married-civ-spouse,White,Male
46,Sales,Bachelors,13,Married-civ-spouse,White,Male
30,Adm-clerical,HS-grad,9,Divorced,White,Female
40,Adm-clerical,HS-grad,9,Divorced,White,Male
46,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
47,Adm-clerical,Some-college,10,Never-married,Black,Male
48,Prof-specialty,Doctorate,16,Married-civ-spouse,Asian-Pac-Islander,Male
21,Adm-clerical,Some-college,10,Never-married,White,Female
58,Craft-repair,10th,6,Married-civ-spouse,White,Male
25,Prof-specialty,Masters,14,Never-married,White,Female
63,Prof-specialty,HS-grad,9,Widowed,White,Female
34,Exec-managerial,Some-college,10,Married-civ-spouse,White,Male
56,Farming-fishing,Some-college,10,Married-civ-spouse,White,Male
19,Adm-clerical,Some-college,10,Never-married,White,Female
64,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
33,Sales,Bachelors,13,Never-married,White,Female
54,Transport-moving,HS-grad,9,Married-civ-spouse,White,Male
25,Exec-managerial,Bachelors,13,Never-married,White,Male
62,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Male
28,Other-service,HS-grad,9,Married-civ-spouse,White,Male
32,Craft-repair,HS-grad,9,Never-married,White,Male
48,Other-service,Bachelors,13,Widowed,White,Female
43,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
65,Prof-specialty,Prof-school,15,Divorced,White,Male
30,Craft-repair,Some-college,10,Divorced,White,Male
23,Handlers-cleaners,HS-grad,9,Never-married,Black,Male
43,Transport-moving,HS-grad,9,Married-civ-spouse,White,Male
44,Exec-managerial,Bachelors,13,Married-civ-spouse,White,Male
45,Other-service,HS-grad,9,Divorced,White,Female
28,Sales,Some-college,10,Married-civ-spouse,White,Female
54,Craft-repair,7th-8th,4,Married-civ-spouse,White,Male
28,Transport-moving,11th,7,Never-married,White,Male
20,Other-service,12th,8,Never-married,White,Male
90,Prof-specialty,Prof-school,15,Married-civ-spouse,White,Male
34,Handlers-cleaners,HS-grad,9,Married-spouse-absent,White,Male
38,Adm-clerical,Some-college,10,Divorced,Other,Female
20,Exec-managerial,Some-college,10,Never-married,White,Female
44,Adm-clerical,Some-college,10,Married-civ-spouse,White,Female
29,Machine-op-inspct,11th,7,Never-married,White,Male
32,Transport-moving,Assoc-voc,11,Married-civ-spouse,White,Male
42,Exec-managerial,Some-college,10,Divorced,White,Female
66,Sales,Bachelors,13,Married-civ-spouse,White,Male
47,Prof-specialty,Prof-school,15,Married-civ-spouse,White,Female
35,Prof-specialty,Prof-school,15,Married-civ-spouse,White,Male
56,Exec-managerial,Some-college,10,Married-civ-spouse,White,Female
24,Craft-repair,Some-college,10,Never-married,White,Male
38,Tech-support,Assoc-voc,11,Never-married,White,Male
74,Exec-managerial,Some-college,10,Married-civ-spouse,White,Male
40,Farming-fishing,Some-college,10,Married-civ-spouse,White,Male
46,Transport-moving,HS-grad,9,Divorced,White,Male
30,Prof-specialty,Bachelors,13,Never-married,White,Male
38,Machine-op-inspct,HS-grad,9,Married-civ-spouse,White,Male
39,Exec-managerial,Some-college,10,Married-civ-spouse,White,Male
29,Prof-specialty,Masters,14,Married-civ-spouse,Asian-Pac-Islander,Female
54,Other-service,5th-6th,3,Married-spouse-absent,Black,Female
34,Craft-repair,Bachelors,13,Married-civ-spouse,White,Male
44,Prof-specialty,Assoc-acdm,12,Married-civ-spouse,White,Male
53,Exec-managerial,Assoc-voc,11,Married-civ-spouse,White,Male
46,Handlers-cleaners,HS-grad,9,Married-civ-spouse,White,Male
55,Tech-support,Bachelors,13,Never-married,White,Female
17,Priv-house-serv,11th,7,Never-married,White,Female
42,Exec-managerial,HS-grad,9,Married-civ-spouse,White,Male
38,Machine-op-inspct,HS-grad,9,Married-civ-spouse,White,Male
50,Exec-managerial,Bachelors,13,Married-civ-spouse,White,Male
27,Adm-clerical,HS-grad,9,Never-married,White,Male
29,Prof-specialty,Assoc-voc,11,Married-civ-spouse,White,Male
39,Adm-clerical,Assoc-voc,11,Divorced,Black,Female
21,Prof-specialty,Some-college,10,Never-married,Asian-Pac-Islander,Male
25,Prof-specialty,Bachelors,13,Never-married,White,Female
24,Other-service,HS-grad,9,Married-civ-spouse,White,Female
49,Sales,HS-grad,9,Married-civ-spouse,White,Male
41,Other-service,7th-8th,4,Never-married,Black,Female
18,Craft-repair,HS-grad,9,Never-married,White,Female
18,Sales,12th,8,Never-married,White,Female
19,Adm-clerical,Some-college,10,Never-married,White,Female
38,Other-service,Assoc-voc,11,Divorced,White,Female
56,Transport-moving,HS-grad,9,Divorced,White,Male
40,Prof-specialty,Some-college,10,Married-civ-spouse,White,Male
28,Handlers-cleaners,HS-grad,9,Never-married,White,Male
62,Machine-op-inspct,10th,6,Married-civ-spouse,White,Male
18,Adm-clerical,12th,8,Never-married,White,Female
22,Craft-repair,10th,6,Divorced,White,Male
56,Craft-repair,Some-college,10,Married-civ-spouse,White,Male
21,Other-service,Some-college,10,Never-married,White,Male
53,Machine-op-inspct,HS-grad,9,Married-civ-spouse,White,Male
34,Craft-repair,Some-college,10,Married-civ-spouse,White,Male
36,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
19,Other-service,HS-grad,9,Never-married,White,Female
44,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
23,Adm-clerical,Assoc-voc,11,Never-married,White,Female
82,Farming-fishing,7th-8th,4,Married-civ-spouse,White,Male
57,Other-service,11th,7,Married-civ-spouse,White,Male
21,Other-service,Some-college,10,Never-married,White,Female
19,Other-service,12th,8,Never-married,White,Male
45,Prof-specialty,Prof-school,15,Divorced,Black,Male
28,Exec-managerial,HS-grad,9,Never-married,White,Female
17,Adm-clerical,12th,8,Never-married,White,Female
63,Other-service,Some-college,10,Divorced,White,Male
39,Transport-moving,11th,7,Divorced,White,Male
44,Machine-op-inspct,HS-grad,9,Divorced,White,Male
26,Handlers-cleaners,Some-college,10,Never-married,White,Male
36,Exec-managerial,Bachelors,13,Never-married,Asian-Pac-Islander,Female
17,Sales,10th,6,Never-married,White,Male
56,Transport-moving,7th-8th,4,Widowed,White,Male
43,Other-service,HS-grad,9,Separated,Black,Female
51,Exec-managerial,Bachelors,13,Married-civ-spouse,White,Male
48,Machine-op-inspct,1st-4th,2,Married-civ-spouse,White,Male
26,Adm-clerical,HS-grad,9,Never-married,White,Male
45,Sales,HS-grad,9,Never-married,White,Female
29,Adm-clerical,Some-college,10,Never-married,Black,Male
37,Sales,Some-college,10,Married-civ-spouse,White,Female
33,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
47,Craft-repair,Bachelors,13,Never-married,White,Female
61,Adm-clerical,HS-grad,9,Married-civ-spouse,White,Male
29,Prof-specialty,Prof-school,15,Never-married,Asian-Pac-Islander,Male
38,Craft-repair,Some-college,10,Divorced,White,Female
42,Tech-support,Masters,14,Divorced,Black,Female
58,Sales,HS-grad,9,Married-civ-spouse,White,Male
20,Adm-clerical,Some-college,10,Never-married,White,Male
37,Adm-clerical,Bachelors,13,Never-married,White,Female
42,Prof-specialty,HS-grad,9,Married-civ-spouse,White,Male
38,Prof-specialty,Prof-school,15,Never-married,White,Male
42,Prof-specialty,Some-college,10,Never-married,White,Female
17,Prof-specialty,10th,6,Never-married,Other,Female
17,Handlers-cleaners,10th,6,Never-married,White,Male
23,Exec-managerial,Some-college,10,Never-married,Other,Female
26,Adm-clerical,Assoc-acdm,12,Married-civ-spouse,White,Female
19,Handlers-cleaners,HS-grad,9,Never-married,White,Male
36,Prof-specialty,Masters,14,Married-civ-spouse,White,Male
45,Sales,Some-college,10,Married-civ-spouse,White,Male
25,Sales,Bachelors,13,Never-married,White,Female
28,Exec-managerial,HS-grad,9,Never-married,White,Female
24,Handlers-cleaners,Some-college,10,Separated,White,Male
67,Protective-serv,Some-college,10,Married-civ-spouse,White,Male
43,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
26,Sales,Some-college,10,Never-married,White,Female
52,Craft-repair,HS-grad,9,Separated,White,Male
53,Other-service,HS-grad,9,Married-civ-spouse,White,Male
32,Exec-managerial,Some-college,10,Never-married,White,Male
36,Sales,HS-grad,9,Divorced,Black,Female
36,Tech-support,Assoc-voc,11,Married-civ-spouse,White,Male
48,Adm-clerical,HS-grad,9,Divorced,White,Female
65,Prof-specialty,Prof-school,15,Never-married,White,Male
40,Other-service,HS-grad,9,Never-married,White,Male
32,Other-service,Some-college,10,Married-civ-spouse,White,Female
27,Transport-moving,Masters,14,Never-married,White,Male
26,Machine-op-inspct,HS-grad,9,Never-married,White,Male
57,Transport-moving,HS-grad,9,Married-civ-spouse,White,Male
47,Priv-house-serv,HS-grad,9,Widowed,Asian-Pac-Islander,Female
42,Adm-clerical,Some-college,10,Divorced,Black,Female
75,Adm-clerical,HS-grad,9,Married-civ-spouse,White,Male
17,Other-service,10th,6,Never-married,White,Male
37,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
38,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Male
42,Transport-moving,HS-grad,9,Divorced,White,Male
25,Adm-clerical,HS-grad,9,Married-civ-spouse,White,Female
32,Adm-clerical,HS-grad,9,Divorced,White,Female
28,Protective-serv,Some-college,10,Married-civ-spouse,White,Male
72,Machine-op-inspct,Some-college,10,Married-civ-spouse,White,Male
23,Adm-clerical,Some-college,10,Never-married,White,Male
22,Sales,Some-college,10,Married-civ-spouse,White,Male
34,Prof-specialty,Bachelors,13,Never-married,White,Female
41,Adm-clerical,Some-college,10,Never-married,White,Female
22,Other-service,9th,5,Never-married,White,Male
48,Other-service,11th,7,Married-civ-spouse,White,Female
28,Farming-fishing,HS-grad,9,Married-civ-spouse,White,Male
29,Tech-support,Assoc-voc,11,Never-married,White,Male
24,Adm-clerical,HS-grad,9,Never-married,White,Female
48,Craft-repair,HS-grad,9,Divorced,White,Male
47,Sales,HS-grad,9,Married-civ-spouse,White,Male
44,Craft-repair,Some-college,10,Separated,White,Male
28,Farming-fishing,HS-grad,9,Separated,White,Male
19,Sales,Some-college,10,Never-married,White,Male
23,Transport-moving,HS-grad,9,Never-married,White,Male
72,Prof-specialty,Masters,14,Never-married,White,Male
20,Adm-clerical,Some-college,10,Never-married,White,Female
47,Transport-moving,5th-6th,3,Married-civ-spouse,White,Male
24,Sales,Some-college,10,Never-married,White,Male
22,Craft-repair,Some-college,10,Never-married,White,Male
31,Adm-clerical,Bachelors,13,Divorced,White,Female
42,Craft-repair,HS-grad,9,Married-civ-spouse,White,Male
24,Sales,Bachelors,13,Never-married,White,Male
43,Other-service,Assoc-acdm,12,Married-spouse-absent,White,Female
29,Exec-managerial,Masters,14,Married-civ-spouse,Asian-Pac-Islander,Male
36,Exec-managerial,Bachelors,13,Married-civ-spouse,Asian-Pac-Islander,Male
38,Adm-clerical,Bachelors,13,Divorced,Asian-Pac-Islander,Female
43,Exec-managerial,Masters,14,Divorced,White,Female
23,Handlers-cleaners,Some-college,10,Never-married,Amer-Indian-Eskimo,Male
55,Other-service,HS-grad,9,Married-civ-spouse,White,Male
47,Exec-managerial,HS-grad,9,Divorced,White,Female
65,Exec-managerial,Some-college,10,Married-civ-spouse,White,Male
45,Machine-op-inspct,5th-6th,3,Married-civ-spouse,White,Male
24,Handlers-cleaners,Some-college,10,Never-married,White,Male
23,Protective-serv,Some-college,10,Never-married,White,Male
28,Prof-specialty,Bachelors,13,Married-civ-spouse,White,Male
33,Protective-serv,HS-grad,9,Divorced,White,Male
34,Craft-repair,9th,5,Separated,White,Male
32,Adm-clerical,HS-grad,9,Never-married,White,Female
40,Prof-specialty,Masters,14,Married-civ-spouse,White,Female
29,Tech-support,Assoc-voc,11,Never-married,White,Female
42,Transport-moving,HS-grad,9,Married-civ-spouse,White,Male
46,Prof-specialty,Masters,14,Married-civ-spouse,Black,Male
36,Sales,HS-grad,9,Never-married,White,Female
34,Handlers-cleaners,12th,8,Married-spouse-absent,White,Male
33,Machine-op-inspct,HS-grad,9,Married-civ-spouse,White,Female
54,Sales,Masters,14,Married-civ-spouse,White,Male
32,Prof-specialty,Assoc-voc,11,Never-married,White,Male
37,Machine-op-inspct,HS-grad,9,Divorced,White,Female
52,Other-service,10th,6,Divorced,White,Female
41,Prof-specialty,Bachelors,13,Divorced,Black,Male
21,Handlers-cleaners,Some-college,10,Never-married,White,Male
46,Exec-managerial,Masters,14,Married-civ-spouse,White,Male
62,Handlers-cleaners,Masters,14,Never-married,White,Male
57,Exec-managerial,Some-college,10,Widowed,White,Male
27,Farming-fishing,Assoc-voc,11,Married-civ-spouse,White,Male
19,Adm-clerical,Some-college,10,Never-married,Black,Female
27,Sales,HS-grad,9,Married-civ-spouse,White,Female
28,Prof-specialty,Bachelors,13,Never-married,Black,Female
46,Exec-managerial,HS-grad,9,Divorced,White,Male
19,Sales,HS-grad,9,Never-married,White,Male
