,age,education,race,sex
106,17,10th,White,Female
107,30,11th,White,Male
108,31,HS-grad,White,Female
109,42,HS-grad,White,Male
110,24,Bachelors,White,Male
111,38,Prof-school,White,Male
112,56,HS-grad,White,Male
113,28,Some-college,White,Female
114,36,HS-grad,White,Female
115,53,9th,White,Male
116,56,Some-college,White,Male
117,49,Assoc-voc,Black,Male
118,55,Some-college,White,Male
119,22,HS-grad,White,Male
120,21,Some-college,White,Female
121,40,Bachelors,White,Male
122,30,Bachelors,Black,Male
123,29,Bachelors,White,Male
124,19,Some-college,Black,Male
125,47,Bachelors,White,Female
126,20,Some-college,White,Female
127,31,Assoc-acdm,White,Male
128,35,HS-grad,White,Male
129,39,Some-college,White,Male
130,28,Assoc-acdm,White,Female
131,24,HS-grad,White,Female
132,38,HS-grad,White,Male
133,37,Bachelors,White,Male
134,46,Assoc-acdm,Black,Female
135,38,Masters,White,Male
136,43,HS-grad,White,Male
137,27,Assoc-voc,White,Female
138,20,Some-college,White,Male
139,49,Some-college,Asian-Pac-Islander,Male
140,61,HS-grad,White,Male
141,27,Some-college,White,Female
142,19,Some-college,White,Male
143,45,Assoc-voc,White,Female
144,70,Some-college,White,Male
145,31,HS-grad,Black,Female
146,22,Some-college,White,Male
147,36,HS-grad,White,Female
148,64,11th,White,Male
149,43,Some-college,White,Female
150,47,Some-college,White,Female
151,34,HS-grad,White,Female
152,33,Bachelors,Asian-Pac-Islander,Female
153,21,HS-grad,White,Male
154,52,HS-grad,White,Male
155,48,HS-grad,White,Male
156,23,Bachelors,White,Male
157,71,Some-college,Black,Male
158,29,HS-grad,White,Male
159,42,Bachelors,Black,Male
160,68,1st-4th,White,Female
161,25,HS-grad,White,Female
162,44,Masters,Asian-Pac-Islander,Female
163,28,HS-grad,Asian-Pac-Islander,Female
164,45,Masters,White,Male
165,36,Some-college,White,Female
166,39,Assoc-acdm,White,Male
167,46,Masters,White,Male
168,18,11th,White,Male
169,66,Assoc-voc,White,Female
170,27,HS-grad,White,Male
171,28,HS-grad,White,Male
172,51,Some-college,White,Male
173,27,Bachelors,White,Male
174,28,Bachelors,White,Male
175,27,HS-grad,White,Female
176,21,HS-grad,Black,Male
177,34,HS-grad,Black,Male
178,18,HS-grad,White,Male
179,33,Bachelors,White,Male
180,44,Some-college,Black,Male
181,43,Some-college,White,Female
182,30,Some-college,Black,Male
183,40,7th-8th,White,Male
184,37,Some-college,White,Male
185,34,HS-grad,Black,Male
186,41,Bachelors,White,Female
187,53,Bachelors,White,Female
188,31,Masters,White,Female
189,58,Doctorate,White,Male
190,38,Some-college,Black,Female
191,24,Some-college,White,Male
192,41,Bachelors,Black,Male
193,47,Some-college,White,Male
194,41,Bachelors,White,Male
195,23,5th-6th,White,Male
196,36,Some-college,White,Male
197,40,Masters,White,Female
198,35,Masters,White,Male
199,24,HS-grad,White,Male
200,26,Masters,White,Female
201,19,HS-grad,White,Male
202,51,Bachelors,White,Male
203,42,Some-college,White,Female
204,37,HS-grad,White,Female
205,18,11th,White,Female
206,36,Bachelors,Black,Male
207,35,HS-grad,White,Male
208,58,HS-grad,White,Female
209,17,11th,White,Female
210,44,HS-grad,Black,Male
211,37,HS-grad,White,Male
212,35,Some-college,Amer-Indian-Eskimo,Female
213,60,HS-grad,Asian-Pac-Islander,Male
214,54,7th-8th,White,Male
215,37,Bachelors,Black,Male
216,50,Assoc-acdm,White,Female
217,38,Bachelors,White,Male
218,45,Bachelors,White,Male
219,25,10th,White,Male
220,31,Some-college,White,Male
221,64,1st-4th,White,Male
222,90,HS-grad,Black,Male
223,54,HS-grad,Black,Male
224,53,Preschool,White,Female
225,18,HS-grad,White,Female
226,60,10th,Amer-Indian-Eskimo,Female
227,66,HS-grad,White,Male
228,75,Assoc-voc,White,Female
229,65,HS-grad,White,Female
230,35,11th,Black,Male
231,41,HS-grad,Black,Female
232,25,Some-college,White,Male
233,33,Some-college,Other,Female
234,28,Prof-school,White,Male
235,59,HS-grad,White,Male
236,40,Some-college,White,Female
237,41,Bachelors,White,Male
238,38,Masters,White,Male
239,23,HS-grad,White,Male
240,40,Bachelors,White,Male
241,41,HS-grad,White,Female
242,24,Assoc-acdm,White,Male
243,20,Some-college,White,Male
244,38,Some-college,White,Male
245,56,HS-grad,White,Male
246,58,HS-grad,White,Male
247,32,HS-grad,White,Female
248,40,Assoc-acdm,White,Male
249,45,HS-grad,White,Male
250,41,Prof-school,White,Female
251,42,Bachelors,Black,Female
252,59,10th,Black,Female
253,19,Some-college,White,Male
254,58,Some-college,White,Male
255,42,HS-grad,Asian-Pac-Islander,Male
256,20,HS-grad,White,Female
257,32,HS-grad,White,Female
258,45,Assoc-voc,White,Female
259,50,7th-8th,White,Male
260,36,Bachelors,White,Female
261,45,HS-grad,White,Male
262,17,11th,White,Male
263,59,Some-college,White,Male
264,26,11th,White,Male
265,37,Some-college,Asian-Pac-Islander,Male
266,19,Some-college,White,Male
267,64,HS-grad,White,Male
268,33,Bachelors,White,Female
269,33,HS-grad,White,Female
270,61,HS-grad,White,Male
271,17,9th,White,Male
272,50,Masters,White,Male
273,27,Masters,White,Male
274,30,HS-grad,White,Female
275,43,HS-grad,Black,Male
276,44,Some-college,White,Male
277,35,Some-college,White,Female
278,25,Some-college,White,Female
279,24,Some-college,White,Female
280,22,Bachelors,White,Female
281,42,Some-college,White,Male
282,34,Assoc-acdm,Black,Female
283,60,Bachelors,White,Female
284,21,HS-grad,White,Male
285,57,Masters,White,Male
286,41,Prof-school,White,Male
287,50,Some-college,White,Male
288,25,Bachelors,White,Female
289,50,7th-8th,White,Male
290,36,Bachelors,White,Male
291,31,HS-grad,White,Female
292,29,Bachelors,White,Male
293,21,Some-college,White,Male
294,27,Bachelors,Black,Female
295,65,HS-grad,White,Male
296,37,Bachelors,White,Female
297,39,Masters,Asian-Pac-Islander,Female
298,24,HS-grad,White,Male
299,38,HS-grad,White,Male
300,48,Bachelors,White,Male
301,21,Some-college,Asian-Pac-Islander,Female
302,31,HS-grad,White,Male
303,55,HS-grad,White,Male
304,24,Some-college,Asian-Pac-Islander,Female
305,43,HS-grad,White,Female
306,26,Assoc-acdm,White,Male
307,46,Assoc-acdm,White,Female
308,35,Assoc-acdm,White,Male
309,41,Some-college,White,Male
310,26,Bachelors,White,Male
311,34,Masters,Asian-Pac-Islander,Male
312,19,Some-college,Black,Female
313,36,Bachelors,Black,Female
314,22,Some-college,White,Male
315,24,Some-college,White,Male
316,77,Some-college,White,Male
317,22,5th-6th,White,Female
318,29,Some-college,White,Female
319,62,HS-grad,White,Female
320,39,HS-grad,White,Male
321,43,Some-college,White,Male
322,35,HS-grad,White,Male
323,29,11th,White,Female
324,76,Masters,White,Male
325,63,HS-grad,White,Male
326,23,Assoc-voc,Black,Female
327,43,Some-college,White,Female
328,58,HS-grad,White,Male
329,66,HS-grad,White,Male
330,41,Some-college,Black,Male
331,26,Bachelors,White,Male
332,47,Assoc-voc,White,Male
333,55,10th,White,Male
334,53,HS-grad,White,Male
335,17,5th-6th,White,Male
336,30,HS-grad,White,Male
337,49,Masters,White,Male
338,19,HS-grad,Black,Male
339,45,HS-grad,Black,Male
340,26,Assoc-acdm,White,Male
341,38,Assoc-voc,White,Male
342,36,HS-grad,White,Male
343,33,HS-grad,White,Male
344,22,Some-college,Black,Female
345,43,Bachelors,White,Male
346,67,11th,White,Male
347,30,Assoc-voc,White,Female
348,56,Assoc-acdm,White,Male
349,31,Bachelors,White,Male
350,33,Bachelors,White,Male
351,26,HS-grad,White,Male
352,33,Bachelors,White,Male
353,46,11th,White,Male
354,59,Bachelors,White,Male
355,38,HS-grad,White,Male
356,65,11th,Other,Male
357,40,Assoc-voc,White,Male
358,42,HS-grad,White,Female
359,26,9th,White,Male
360,36,10th,White,Female
361,62,Masters,White,Male
362,43,Bachelors,White,Male
363,43,Bachelors,White,Male
364,22,HS-grad,White,Male
365,28,HS-grad,White,Male
366,56,Some-college,White,Male
367,22,Assoc-acdm,White,Female
368,57,Bachelors,White,Female
369,39,HS-grad,White,Female
370,26,Some-college,White,Female
371,17,11th,White,Male
372,40,Assoc-voc,White,Male
373,45,HS-grad,Black,Male
374,44,HS-grad,Black,Male
375,20,Some-college,White,Female
376,33,HS-grad,White,Female
377,23,Some-college,White,Male
378,46,Masters,White,Male
379,38,HS-grad,White,Male
380,54,HS-grad,White,Male
381,46,5th-6th,White,Female
382,25,Some-college,White,Male
383,46,Some-college,White,Female
384,36,Some-college,White,Female
385,23,HS-grad,White,Female
386,29,HS-grad,White,Male
387,44,Some-college,White,Female
388,19,Some-college,White,Female
389,19,HS-grad,White,Female
390,35,HS-grad,White,Female
391,27,Bachelors,White,Male
392,46,Assoc-acdm,White,Male
393,34,Bachelors,White,Male
394,34,HS-grad,White,Female
395,44,Some-college,White,Male
396,45,Some-college,White,Female
397,20,HS-grad,White,Female
398,25,Bachelors,White,Male
399,52,Bachelors,White,Male
400,20,Some-college,White,Male
401,28,Some-college,White,Female
402,50,Bachelors,White,Male
403,34,Assoc-voc,White,Female
404,28,7th-8th,Other,Male
405,41,Masters,White,Male
406,28,HS-grad,White,Male
407,46,HS-grad,White,Male
408,28,Some-college,White,Female
409,32,Some-college,White,Male
410,41,Some-college,Black,Female
411,24,HS-grad,Black,Female
412,33,Some-college,White,Female
413,46,Doctorate,White,Male
414,31,Some-college,White,Male
415,35,12th,White,Male
416,52,1st-4th,White,Male
417,30,11th,White,Female
418,34,11th,Black,Male
419,34,HS-grad,White,Female
420,20,Some-college,White,Male
421,17,11th,White,Male
422,32,Bachelors,White,Female
423,29,HS-grad,White,Male
424,33,10th,White,Female
425,25,HS-grad,White,Male
426,36,Masters,White,Male
427,23,HS-grad,White,Male
428,63,HS-grad,White,Male
429,47,Masters,White,Male
430,80,HS-grad,White,Male
431,17,11th,White,Male
432,40,Bachelors,White,Female
433,30,Assoc-acdm,White,Female
434,27,Some-college,Asian-Pac-Islander,Male
435,33,Masters,White,Male
436,34,HS-grad,Black,Male
437,34,Some-college,White,Female
438,23,Some-college,White,Male
439,42,Some-college,White,Female
440,29,Bachelors,White,Male
441,45,HS-grad,White,Female
442,24,HS-grad,White,Male
443,44,Some-college,White,Male
444,27,9th,White,Male
445,20,Some-college,White,Male
446,44,HS-grad,Black,Female
447,51,HS-grad,Amer-Indian-Eskimo,Male
448,20,HS-grad,White,Male
449,17,11th,White,Female
450,19,HS-grad,Black,Female
451,45,Some-college,White,Male
452,60,HS-grad,White,Male
453,42,Assoc-acdm,Black,Male
454,44,HS-grad,White,Female
455,40,Assoc-voc,Asian-Pac-Islander,Male
456,30,HS-grad,White,Female
457,38,Some-college,Black,Male
458,23,HS-grad,White,Male
459,32,Some-college,White,Male
460,44,Assoc-acdm,White,Male
461,54,HS-grad,Black,Male
462,32,Bachelors,White,Male
463,50,1st-4th,White,Male
464,24,Bachelors,White,Female
465,37,HS-grad,White,Female
466,52,HS-grad,White,Male
467,38,Some-college,White,Male
468,49,Masters,White,Male
469,30,Bachelors,White,Female
470,60,Some-college,White,Male
471,22,Some-college,White,Male
472,35,HS-grad,White,Male
473,30,HS-grad,White,Male
474,67,Assoc-voc,White,Female
475,46,Bachelors,White,Female
476,17,9th,White,Male
477,22,Some-college,White,Male
478,27,10th,White,Male
479,23,HS-grad,White,Female
480,33,Assoc-acdm,White,Male
481,43,Some-college,White,Male
482,28,Bachelors,White,Male
483,41,HS-grad,White,Female
484,52,12th,Black,Male
485,25,Some-college,Black,Female
486,63,1st-4th,White,Male
487,59,HS-grad,White,Male
488,45,Bachelors,White,Female
489,38,Bachelors,White,Male
490,40,HS-grad,White,Female
491,46,HS-grad,White,Male
492,35,Assoc-acdm,White,Female
493,34,HS-grad,White,Female
494,33,Bachelors,White,Male
495,41,HS-grad,White,Female
496,20,Some-college,White,Male
497,23,5th-6th,White,Male
498,26,Some-college,White,Female
499,72,HS-grad,White,Male
500,23,HS-grad,White,Male
501,62,HS-grad,White,Male
502,52,Some-college,White,Male
503,58,Some-college,White,Female
504,25,Bachelors,White,Female
505,24,Bachelors,Black,Male
506,19,Some-college,White,Male
507,43,Some-college,White,Male
508,47,HS-grad,Black,Female
509,39,HS-grad,White,Female
510,49,Assoc-voc,White,Male
511,53,5th-6th,Black,Female
512,32,Assoc-voc,White,Male
513,34,Some-college,White,Male
514,28,HS-grad,White,Male
515,57,Assoc-voc,White,Female
516,25,Some-college,Amer-Indian-Eskimo,Female
517,20,Some-college,White,Male
518,21,Some-college,White,Female
519,34,Bachelors,White,Male
520,38,Bachelors,White,Male
521,50,HS-grad,White,Male
522,24,Some-college,Black,Male
523,37,Some-college,White,Male
524,44,Some-college,White,Male
525,28,Some-college,White,Female
526,42,Bachelors,White,Male
527,74,Some-college,White,Female
528,38,HS-grad,White,Male
529,44,Masters,White,Male
530,44,11th,Other,Female
531,26,HS-grad,White,Male
532,36,HS-grad,Black,Male
533,41,Assoc-acdm,White,Female
534,67,Prof-school,White,Male
535,39,12th,White,Male
536,57,1st-4th,Black,Female
537,29,Assoc-voc,White,Male
538,31,Bachelors,White,Female
539,34,HS-grad,Black,Female
540,44,Some-college,White,Male
541,29,Doctorate,White,Male
542,30,Some-college,White,Female
543,27,HS-grad,White,Male
544,27,Some-college,White,Male
545,32,HS-grad,White,Female
546,58,10th,White,Female
547,35,Some-college,White,Male
548,21,HS-grad,White,Male
549,28,Some-college,White,Male
550,46,Some-college,White,Male
551,36,HS-grad,White,Female
552,72,11th,White,Female
553,35,HS-grad,Black,Female
554,33,Assoc-voc,Black,Female
555,69,11th,White,Female
556,35,HS-grad,White,Male
557,31,HS-grad,White,Female
558,34,HS-grad,White,Female
559,30,11th,White,Male
560,28,Bachelors,White,Male
561,54,Bachelors,White,Male
562,47,Some-college,White,Male
563,24,HS-grad,Black,Female
564,52,Bachelors,White,Male
565,20,HS-grad,Amer-Indian-Eskimo,Male
566,43,Masters,White,Male
567,45,7th-8th,White,Female
568,29,HS-grad,White,Male
569,47,Masters,White,Male
570,24,HS-grad,White,Male
571,51,HS-grad,White,Male
572,17,11th,White,Male
573,37,Assoc-voc,White,Male
574,27,Doctorate,White,Female
575,29,Bachelors,White,Male
576,18,12th,White,Male
577,36,Assoc-acdm,White,Female
578,58,Bachelors,White,Female
579,26,Some-college,White,Male
580,65,Some-college,White,Male
581,57,HS-grad,White,Male
582,59,HS-grad,White,Male
583,27,HS-grad,White,Male
584,31,Bachelors,White,Male
585,21,Some-college,White,Female
586,29,Some-college,White,Male
587,18,11th,White,Male
588,52,10th,White,Male
589,57,Bachelors,White,Male
590,42,HS-grad,White,Male
591,55,HS-grad,Asian-Pac-Islander,Female
592,60,7th-8th,White,Male
593,31,Bachelors,White,Male
594,23,Bachelors,White,Female
595,27,HS-grad,White,Male
596,23,Some-college,Amer-Indian-Eskimo,Female
597,42,Prof-school,White,Male
598,25,Some-college,White,Male
599,49,Bachelors,White,Female
600,32,Bachelors,White,Male
601,19,Some-college,White,Male
602,60,7th-8th,White,Female
603,42,9th,White,Male
604,35,Assoc-acdm,White,Male
605,48,HS-grad,Black,Female
606,51,Masters,White,Male
607,29,HS-grad,Amer-Indian-Eskimo,Male
608,36,HS-grad,Black,Male
609,17,10th,White,Female
610,52,Masters,White,Female
611,24,HS-grad,White,Male
612,24,HS-grad,White,Male
613,26,Bachelors,White,Male
614,27,Bachelors,White,Female
615,39,HS-grad,White,Male
616,30,HS-grad,Black,Male
617,50,HS-grad,White,Male
618,52,Bachelors,White,Male
619,46,Prof-school,White,Male
620,23,Bachelors,White,Female
621,45,11th,Black,Female
622,65,9th,Black,Female
623,29,Assoc-voc,White,Male
624,47,9th,White,Male
625,30,HS-grad,Black,Male
626,34,HS-grad,White,Male
627,38,HS-grad,White,Male
628,33,Some-college,White,Male
629,49,Bachelors,White,Male
630,47,Some-college,Black,Female
631,49,10th,Black,Female
632,43,Some-college,White,Male
633,30,Bachelors,Black,Female
634,58,HS-grad,White,Male
635,19,HS-grad,White,Female
636,21,Bachelors,White,Male
637,33,Bachelors,White,Male
638,47,5th-6th,White,Male
639,52,Doctorate,White,Male
640,26,HS-grad,White,Male
641,60,HS-grad,White,Male
642,21,Some-college,White,Male
643,36,Some-college,White,Male
644,31,Some-college,White,Male
645,50,Doctorate,White,Male
646,31,HS-grad,White,Female
647,71,HS-grad,White,Male
648,58,HS-grad,White,Male
649,30,Bachelors,White,Male
650,20,Some-college,White,Male
651,24,HS-grad,White,Male
652,35,Doctorate,Asian-Pac-Islander,Male
653,38,Some-college,White,Female
654,27,HS-grad,White,Female
655,29,Some-college,Asian-Pac-Islander,Female
656,70,9th,White,Female
657,34,HS-grad,White,Male
658,44,7th-8th,White,Male
659,43,HS-grad,White,Male
660,44,12th,Black,Male
661,35,Masters,White,Male
662,27,Some-college,White,Male
663,43,Masters,White,Male
664,20,Some-college,White,Female
665,42,Assoc-acdm,White,Female
666,27,Some-college,White,Male
667,42,HS-grad,Black,Male
668,20,11th,Asian-Pac-Islander,Female
669,24,9th,White,Male
670,48,Some-college,White,Male
671,17,11th,White,Female
672,17,11th,White,Male
673,33,Bachelors,White,Male
674,50,HS-grad,White,Male
675,22,HS-grad,White,Female
676,17,12th,White,Male
677,32,Some-college,White,Male
678,31,HS-grad,White,Male
679,58,HS-grad,White,Male
680,29,HS-grad,White,Male
681,37,Assoc-voc,White,Male
682,34,HS-grad,White,Male
683,23,Some-college,Black,Male
684,18,11th,White,Female
685,34,HS-grad,White,Female
686,66,7th-8th,White,Male
687,45,Bachelors,White,Female
688,41,Masters,White,Male
689,26,HS-grad,White,Male
690,54,Some-college,White,Male
691,24,Some-college,Black,Female
692,42,Some-college,White,Male
693,20,Some-college,White,Male
694,23,Bachelors,White,Female
695,25,Assoc-acdm,White,Male
696,35,Masters,White,Male
697,31,Masters,White,Male
698,30,Bachelors,White,Female
699,19,HS-grad,White,Female
700,36,Bachelors,White,Male
701,31,Bachelors,White,Female
702,21,Some-college,White,Male
703,31,Some-college,White,Male
704,46,Doctorate,White,Female
705,44,Bachelors,White,Female
706,40,12th,Black,Male
707,45,Some-college,Black,Male
708,60,HS-grad,White,Male
709,18,11th,White,Male
710,28,Bachelors,White,Male
711,36,Some-college,Black,Female
712,36,Bachelors,White,Male
713,40,Assoc-voc,White,Male
714,36,Bachelors,White,Female
715,31,HS-grad,Black,Female
716,33,HS-grad,White,Male
717,19,HS-grad,White,Female
718,22,Some-college,White,Female
719,34,Bachelors,White,Male
720,33,HS-grad,White,Male
721,41,HS-grad,White,Male
722,29,Bachelors,White,Male
723,50,HS-grad,White,Male
724,42,Bachelors,White,Male
725,43,Bachelors,White,Male
726,44,HS-grad,White,Female
727,20,Some-college,White,Female
728,31,HS-grad,White,Male
729,65,11th,White,Male
730,23,Some-college,White,Female
731,55,Some-college,Asian-Pac-Islander,Female
732,26,Assoc-voc,White,Male
733,25,Assoc-voc,White,Female
734,45,Some-college,Black,Female
735,35,Some-college,White,Male
736,36,Some-college,Black,Female
737,43,Bachelors,White,Male
738,56,HS-grad,Black,Female
739,42,Bachelors,White,Male
740,19,Some-college,White,Female
741,55,HS-grad,White,Male
742,42,Masters,White,Female
743,26,Assoc-voc,White,Male
744,17,12th,White,Male
745,42,Bachelors,White,Female
746,55,HS-grad,White,Male
747,32,Some-college,Black,Female
748,29,11th,Black,Male
749,46,Bachelors,White,Male
750,29,Bachelors,White,Male
751,22,Bachelors,White,Male
752,58,10th,White,Male
753,23,HS-grad,White,Male
754,39,HS-grad,White,Male
755,27,Assoc-voc,White,Male
756,54,HS-grad,White,Male
757,33,Bachelors,White,Female
758,46,HS-grad,White,Female
759,37,HS-grad,Black,Male
760,36,HS-grad,White,Female
761,59,HS-grad,White,Female
762,34,HS-grad,White,Male
763,53,Doctorate,White,Male
764,51,Bachelors,White,Male
765,32,10th,White,Female
766,31,Some-college,White,Male
767,22,Some-college,White,Female
768,47,Bachelors,White,Female
769,32,HS-grad,White,Male
770,26,Some-college,White,Female
771,37,5th-6th,White,Male
772,31,HS-grad,White,Male
773,37,Assoc-voc,White,Female
774,55,HS-grad,White,Male
775,23,Assoc-voc,White,Male
776,36,Some-college,White,Female
777,34,Masters,White,Male
778,43,Bachelors,White,Male
779,54,Some-college,White,Male
780,43,Some-college,White,Male
781,28,Assoc-voc,White,Female
782,40,Assoc-voc,White,Male
783,41,Some-college,White,Male
784,40,Bachelors,Other,Female
785,42,Some-college,Black,Female
786,61,HS-grad,White,Male
787,18,12th,White,Male
788,59,HS-grad,White,Male
789,21,HS-grad,White,Female
790,48,Assoc-voc,White,Male
791,41,Bachelors,White,Male
792,18,Some-college,White,Male
793,23,HS-grad,White,Female
794,60,HS-grad,White,Male
795,22,Some-college,Black,Male
796,61,HS-grad,White,Male
797,25,HS-grad,Black,Male
798,46,Masters,White,Male
799,43,Bachelors,White,Male
800,43,Assoc-acdm,White,Male
801,24,HS-grad,Black,Male
802,68,11th,White,Male
803,31,HS-grad,White,Female
804,17,11th,White,Female
805,32,HS-grad,White,Male
806,50,Masters,White,Male
807,33,Bachelors,White,Male
808,64,Bachelors,White,Male
809,20,HS-grad,White,Male
810,30,HS-grad,White,Female
811,22,Some-college,Black,Male
812,43,Some-college,White,Male
813,22,Some-college,White,Male
814,17,10th,White,Male
815,47,HS-grad,White,Female
816,41,Assoc-voc,White,Female
817,56,Some-college,White,Male
818,64,HS-grad,White,Male
819,47,HS-grad,White,Male
820,48,Assoc-voc,White,Male
821,31,Masters,White,Female
822,29,Assoc-voc,White,Male
823,30,HS-grad,White,Female
824,32,HS-grad,White,Male
825,57,HS-grad,White,Male
826,62,HS-grad,White,Female
827,39,HS-grad,White,Female
828,43,Some-college,White,Male
829,24,Bachelors,White,Male
830,42,11th,White,Male
831,53,Some-college,White,Female
832,26,Some-college,White,Male
833,73,HS-grad,White,Male
834,72,11th,White,Female
835,55,HS-grad,White,Male
836,25,HS-grad,White,Male
837,41,Bachelors,White,Female
838,24,Bachelors,White,Male
839,63,HS-grad,White,Male
840,17,11th,White,Male
841,35,Some-college,White,Male
842,51,Some-college,White,Male
843,62,Bachelors,White,Female
844,55,HS-grad,White,Male
845,43,Some-college,White,Male
846,40,HS-grad,White,Female
847,37,Bachelors,White,Male
848,39,Bachelors,White,Male
849,31,HS-grad,White,Male
850,61,Masters,White,Female
851,26,Assoc-voc,White,Female
852,46,HS-grad,White,Male
853,26,Bachelors,White,Female
854,48,Doctorate,White,Male
855,34,HS-grad,White,Male
856,34,HS-grad,White,Female
857,59,HS-grad,White,Male
858,34,Bachelors,White,Female
859,49,Bachelors,White,Female
860,18,11th,White,Female
861,43,HS-grad,White,Male
862,48,11th,White,Male
863,28,Some-college,White,Male
864,33,HS-grad,White,Male
865,24,Some-college,White,Female
866,21,10th,White,Male
867,17,11th,White,Male
868,39,Some-college,White,Male
869,29,Bachelors,White,Male
870,44,Bachelors,White,Male
871,24,Some-college,White,Male
872,71,Masters,White,Male
873,51,Bachelors,Asian-Pac-Islander,Male
874,55,5th-6th,Black,Male
875,41,Bachelors,White,Male
876,23,HS-grad,Black,Female
877,38,Assoc-voc,White,Female
878,39,HS-grad,White,Male
879,19,HS-grad,White,Female
880,49,9th,White,Female
881,32,Bachelors,White,Male
882,27,HS-grad,White,Male
883,38,Bachelors,White,Male
884,33,Some-college,White,Female
885,63,Some-college,White,Male
886,23,Bachelors,White,Male
887,33,Some-college,White,Male
888,54,HS-grad,Black,Male
889,29,Assoc-voc,White,Female
890,48,Some-college,Black,Female
891,35,Bachelors,White,Male
892,28,Assoc-voc,Asian-Pac-Islander,Female
893,37,Bachelors,White,Male
894,42,Prof-school,White,Male
895,40,Masters,White,Male
896,47,Some-college,White,Male
897,22,Bachelors,White,Female
898,30,Bachelors,White,Male
899,28,HS-grad,White,Male
900,63,7th-8th,White,Male
901,51,9th,White,Male
902,22,HS-grad,White,Female
903,27,Assoc-acdm,Amer-Indian-Eskimo,Male
904,35,HS-grad,White,Male
905,46,HS-grad,White,Female
906,37,Some-college,White,Male
907,24,Bachelors,Black,Male
908,37,HS-grad,White,Male
909,53,Some-college,White,Male
910,27,HS-grad,White,Male
911,38,Some-college,White,Male
912,53,10th,White,Male
913,34,Some-college,White,Male
914,23,HS-grad,Black,Male
915,39,Bachelors,White,Male
916,43,Masters,Asian-Pac-Islander,Female
917,67,HS-grad,Asian-Pac-Islander,Male
918,81,HS-grad,White,Male
919,21,Some-college,White,Male
920,23,Some-college,White,Male
921,25,Some-college,White,Male
922,42,5th-6th,White,Female
923,38,Some-college,Black,Female
924,64,HS-grad,White,Male
925,32,HS-grad,White,Male
